ref,SampleID,ac,a5c
pUC19,ST,99.82090059171597,99.75889884393062
pUC19,A1,1.6251694128712872,88.76010988372093
pUC19,A2,1.4059201833498514,88.8763851744186
pUC19,A3,0.48504539603960395,87.48994709302325
pUC19,A4,0.1497844613095238,84.39494256559767
pUC19,B1,1.4776370565476191,88.43096046511627
pUC19,B2,1.2317866722939421,88.67315204678363
pUC19,B3,0.36176407539682537,86.62427790697674
pUC19,B4,0.20485898705179284,85.17090586510264
pUC19,B7,0.13617032309217048,83.57666773255814
pUC19,B8,0.10869358490566038,71.49769002932551
pUC19,B9,0.1545255,75.89135923753666
pUC19,B10,0.1256171171797418,81.85846970588234
pUC19,B11,1.0837827795431976,85.90394651162791
